Date,AAPL,MSFT,GOOGL,AMZN,TSLA,BRK-B,JNJ,JPM,V,PG,NVDA,HD,DIS,MA,PYPL,NFLX,ADBE,CMCSA,PFE
2022-10-31,153.33999633789062,232.1300048828125,94.51000213623047,102.44000244140625,227.5399932861328,295.0899963378906,173.97000122070312,125.87999725341797,207.16000366210938,134.6699981689453,13.496999740600586,296.1300048828125,106.54000091552734,328.17999267578125,83.58000183105469,291.8800048828125,318.5,31.739999771118164,46.54999923706055
2022-11-01,150.64999389648438,228.1699981689453,90.47000122070312,96.79000091552734,227.82000732421875,294.1300048828125,173.08999633789062,128.14999389648438,206.92999267578125,134.8800048828125,13.543000221252441,296.05999755859375,106.0,333.19000244140625,83.11000061035156,286.75,316.0199890136719,31.559999465942383,48.0099983215332
2022-11-02,145.02999877929688,220.10000610351562,86.97000122070312,92.12000274658203,214.97999572753906,289.4599914550781,170.42999267578125,126.97000122070312,200.9499969482422,132.94000244140625,13.218999862670898,288.7300109863281,101.81999969482422,319.82000732421875,79.44999694824219,273.0,301.2200012207031,30.90999984741211,47.06999969482422
2022-11-03,138.8800048828125,214.25,83.43000030517578,89.30000305175781,215.30999755859375,283.8500061035156,170.72000122070312,127.19999694824219,194.75,132.02999877929688,13.420999526977539,281.5,99.25,309.1700134277344,76.55000305175781,269.05999755859375,285.92999267578125,30.3799991607666,46.56999969482422
2022-11-04,138.3800048828125,221.38999938964844,86.58000183105469,90.9800033569336,207.47000122070312,287.4700012207031,171.47999572753906,130.67999267578125,196.97999572753906,134.44000244140625,14.156000137329102,284.0299987792969,99.58000183105469,318.3699951171875,75.18000030517578,260.7900085449219,285.75,31.0,47.220001220703125
2022-11-07,138.9199981689453,227.8699951171875,88.48999786376953,90.52999877929688,197.0800018310547,290.19000244140625,172.97999572753906,131.3699951171875,200.10000610351562,136.5,14.300999641418457,290.2699890136719,100.43000030517578,325.1300048828125,77.66000366210938,258.6000061035156,299.5400085449219,31.600000381469727,47.09000015258789
2022-11-08,139.5,228.8699951171875,88.9000015258789,89.9800033569336,191.3000030517578,292.6099853515625,173.83999633789062,131.4499969482422,201.77999877929688,136.80999755859375,14.60200023651123,291.1400146484375,99.9000015258789,325.75,81.12999725341797,263.4599914550781,302.1700134277344,31.899999618530273,47.349998474121094
2022-11-09,134.8699951171875,224.50999450683594,87.31999969482422,86.13999938964844,177.58999633789062,288.6499938964844,172.4499969482422,129.74000549316406,193.92999267578125,136.47999572753906,13.776000022888184,286.75,86.75,315.6400146484375,78.68000030517578,254.66000366210938,298.8699951171875,31.389999389648438,46.720001220703125
2022-11-10,146.8699951171875,242.97999572753906,93.94000244140625,96.62999725341797,190.72000122070312,303.20001220703125,174.47000122070312,135.0800018310547,205.57000732421875,141.17999267578125,15.75,311.70001220703125,90.45999908447266,337.2699890136719,86.80000305175781,274.9700012207031,329.95001220703125,32.77000045776367,47.380001068115234
2022-11-11,149.6999969482422,247.11000061035156,96.41000366210938,100.79000091552734,195.97000122070312,309.7200012207031,169.25,135.3000030517578,205.0,140.97000122070312,16.32699966430664,314.94000244140625,95.01000213623047,339.2900085449219,91.02999877929688,290.1300048828125,341.1499938964844,34.02000045776367,47.599998474121094
2022-11-14,148.27999877929688,241.5500030517578,95.69999694824219,98.48999786376953,190.9499969482422,308.9100036621094,171.91000366210938,133.91000366210938,206.86000061035156,140.97999572753906,16.295000076293945,306.9200134277344,94.27999877929688,339.3699951171875,89.51000213623047,299.2699890136719,340.3699951171875,34.130001068115234,49.2400016784668
2022-11-15,150.0399932861328,241.97000122070312,98.44000244140625,98.94000244140625,194.4199981689453,309.9800109863281,172.38999938964844,132.94000244140625,209.99000549316406,140.49000549316406,16.666000366210938,311.92999267578125,95.51000213623047,343.510009765625,89.86000061035156,310.20001220703125,345.9599914550781,34.279998779296875,48.56999969482422
2022-11-16,148.7899932861328,241.72999572753906,98.8499984741211,97.12000274658203,186.9199981689453,308.760009765625,173.4600067138672,133.1199951171875,210.13999938964844,141.74000549316406,15.90999984741211,314.9100036621094,93.94999694824219,342.760009765625,87.04000091552734,306.0199890136719,338.4100036621094,33.97999954223633,48.04999923706055
2022-11-17,150.72000122070312,241.67999267578125,98.36000061035156,94.8499984741211,183.1699981689453,307.44000244140625,174.86000061035156,132.5399932861328,210.99000549316406,140.8699951171875,15.677000045776367,311.44000244140625,91.44999694824219,341.2699890136719,85.63999938964844,295.2799987792969,337.8299865722656,34.2599983215332,48.33000183105469
2022-11-18,151.2899932861328,241.22000122070312,97.43000030517578,94.13999938964844,180.19000244140625,310.760009765625,176.1999969482422,133.83999633789062,210.8000030517578,142.57000732421875,15.409000396728516,313.17999267578125,91.80000305175781,343.69000244140625,84.91999816894531,287.9800109863281,330.8599853515625,34.5,48.22999954223633
